Country,Year,Sex,NEET_Rate,Education_Expenditure
HU,2017,Males,7.9,46.7
HU,2018,Females,13.9,46.1
HU,2018,Males,7.5,46.1
HU,2019,Females,13.4,46.1
HU,2019,Males,8.7,46.1
HU,2020,Females,14.8,51.4
HU,2020,Males,10.0,51.4
HU,2021,Females,14.8,48.4
HU,2021,Males,8.7,48.4
HU,2022,Females,13.3,48.8
HU,2022,Males,8.3,48.8
IE,2015,Females,16.6,29.0
IE,2015,Males,16.3,29.0
IE,2016,Females,14.6,28.1
IE,2016,Males,14.3,28.1
IE,2017,Females,13.8,26.1
IE,2017,Males,11.8,26.1
IE,2018,Females,12.5,25.3
IE,2018,Males,10.7,25.3
IE,2019,Females,12.4,24.3
IE,2019,Males,10.5,24.3
IE,2020,Females,14.5,27.2
IE,2020,Males,13.8,27.2
IE,2021,Females,9.5,24.4
IE,2021,Males,9.9,24.4
IE,2022,Females,9.5,21.2
IE,2022,Males,7.7,21.2
IS,2015,Females,4.9,43.5
IS,2015,Males,5.6,43.5
IS,2016,Females,5.0,46.4
IS,2016,Males,4.3,46.4
IS,2017,Females,4.8,44.4
IS,2017,Males,3.4,44.4
IS,2018,Females,5.9,43.8
IS,2018,Males,4.9,43.8
IS,2019,Females,4.8,43.6
IS,2019,Males,6.6,43.6
IS,2020,Females,7.4,51.3
IS,2020,Males,6.7,51.3
IS,2021,Females,7.6,49.9
IS,2021,Males,6.9,49.9
IS,2022,Females,5.2,47.5
IS,2022,Males,5.4,47.5
IT,2015,Females,27.9,50.3
IT,2015,Males,23.8,50.3
IT,2016,Females,27.0,49.1
IT,2016,Males,22.0,49.1
IT,2017,Females,26.6,48.8
IT,2017,Males,22.0,48.8
IT,2018,Females,26.1,48.4
IT,2018,Males,21.1,48.4
IT,2019,Females,24.9,48.5
IT,2019,Males,19.9,48.5
IT,2020,Females,26.1,57.0
IT,2020,Males,21.0,57.0
IT,2021,Females,25.0,56.3
IT,2021,Males,21.2,56.3
IT,2022,Females,20.5,56.1
IT,2022,Males,17.7,56.1
LT,2015,Females,13.0,35.2
LT,2015,Males,10.7,35.2
LT,2016,Females,10.7,34.2
LT,2016,Males,10.8,34.2
LT,2017,Females,10.8,33.2
LT,2017,Males,9.8,33.2
LT,2018,Females,9.9,34.0
LT,2018,Males,8.8,34.0
LT,2019,Females,11.0,34.8
LT,2019,Males,10.9,34.8
LT,2020,Females,12.4,42.7
LT,2020,Males,13.6,42.7
LT,2021,Females,13.5,37.4
LT,2021,Males,11.9,37.4
LT,2022,Females,11.8,36.4
